1,2,3,4,5,6,7,8,9,10
0.65665,0.657213,0.657708,0.657969,0.658367,0.658542,0.658866,0.659104,0.659233,0.659381
0.656739,0.657384,0.657732,0.658113,0.658526,0.658716,0.659028,0.659158,0.659478,0.659683
0.657134,0.657771,0.65826,0.658494,0.658836,0.658997,0.659242,0.659515,0.659772,0.660178
0.657687,0.658229,0.658561,0.658733,0.659042,0.659283,0.659543,0.659846,0.66011,0.660193
0.658123,0.658773,0.659163,0.659346,0.659639,0.659852,0.660184,0.660288,0.660507,0.660817
0.658258,0.658762,0.659304,0.659516,0.659795,0.660003,0.660207,0.660446,0.660698,0.660907
0.658619,0.659265,0.659619,0.659966,0.660176,0.660383,0.660628,0.660838,0.661087,0.66141
0.65841,0.658968,0.659461,0.659878,0.66003,0.660355,0.660672,0.660796,0.661076,0.660944
0.658812,0.659601,0.660021,0.660295,0.660492,0.660745,0.660942,0.661255,0.661345,0.66165
0.659172,0.659810,0.660327,0.660657,0.660895,0.661018,0.661387,0.661597,0.661847,0.662003
0.659373,0.660027,0.660407,0.660676,0.661022,0.661164,0.661337,0.661551,0.661878,0.66206
0.659737,0.660361,0.660752,0.661058,0.661387,0.661643,0.661783,0.662094,0.662008,0.662518
0.659903,0.660489,0.660873,0.661205,0.66164,0.661735,0.661852,0.662217,0.662395,0.662747
0.660184,0.660773,0.661115,0.661285,0.661697,0.661836,0.662294,0.662549,0.6626,0.662919
0.660288,0.660785,0.661458,0.66163,0.661812,0.662134,0.662309,0.662511,0.662558,0.66294
0.660602,0.661228,0.661596,0.661829,0.662234,0.662541,0.662707,0.662938,0.663007,0.663019
0.660697,0.661374,0.661841,0.662112,0.662354,0.662688,0.662775,0.663124,0.663348,0.663515
0.660865,0.661559,0.661964,0.662108,0.662327,0.662573,0.662818,0.663189,0.663347,0.663622
0.660874,0.661462,0.661759,0.662063,0.662404,0.662529,0.662941,0.663222,0.663223,0.663328
0.660965,0.661580,0.6619,0.662108,0.662289,0.662584,0.662842,0.662916,0.663372,0.663442
0.661336,0.661978,0.662281,0.662404,0.662803,0.662954,0.663202,0.6633,0.663638,0.663674
0.661131,0.661898,0.662211,0.662517,0.662635,0.662927,0.663067,0.663335,0.663547,0.663694
0.661587,0.662242,0.662787,0.66302,0.663247,0.663365,0.663622,0.663869,0.664055,0.664123
0.661509,0.662012,0.662578,0.662785,0.663091,0.663351,0.663354,0.663683,0.663705,0.663749
0.661696,0.662159,0.662622,0.663003,0.663192,0.663491,0.663667,0.66391,0.664125,0.664328
0.661787,0.662545,0.663051,0.663442,0.663646,0.663727,0.66395,0.664245,0.664194,0.663958
0.661851,0.662511,0.662841,0.663016,0.66341,0.663596,0.66396,0.664151,0.664329,0.664424
0.661969,0.662662,0.66307,0.66339,0.6634,0.663837,0.664089,0.664295,0.664367,0.664543
0.662266,0.662957,0.663423,0.663698,0.663878,0.664048,0.664215,0.664413,0.664522,0.664562
0.662051,0.662614,0.663111,0.663346,0.663506,0.663641,0.663836,0.664102,0.664285,0.664202
0.661778,0.662270,0.662596,0.662834,0.663101,0.66336,0.66352,0.663765,0.663864,0.663936
0.66188,0.662506,0.662993,0.663293,0.663462,0.663773,0.663993,0.664128,0.664307,0.664305
0.662086,0.662708,0.663088,0.663436,0.663772,0.663833,0.664062,0.664313,0.664342,0.664352
0.66196,0.662545,0.662823,0.66321,0.663544,0.663822,0.66398,0.664173,0.664339,0.66439
0.662107,0.662740,0.663165,0.663252,0.663362,0.6637,0.663906,0.664011,0.66437,0.664259
0.662134,0.662640,0.662968,0.663194,0.66342,0.663688,0.663833,0.664049,0.66428,0.66445
0.66241,0.662934,0.663184,0.663504,0.663751,0.663976,0.664111,0.66434,0.664579,0.664706
0.662255,0.663086,0.663547,0.663725,0.664028,0.664206,0.664267,0.66455,0.664748,0.664548
0.661399,0.662011,0.662403,0.662686,0.662784,0.66311,0.66328,0.663621,0.663695,0.663881
0.661652,0.662329,0.662771,0.663079,0.663249,0.663497,0.663763,0.66395,0.664019,0.66361
0.661237,0.661912,0.662319,0.662605,0.663027,0.663353,0.663596,0.663882,0.664101,0.663905
0.662095,0.662664,0.66292,0.66317,0.663483,0.663538,0.663848,0.664029,0.664196,0.664083
0.661743,0.662427,0.662778,0.663048,0.663362,0.663553,0.663763,0.663926,0.664134,0.664368
0.661646,0.662175,0.662696,0.662961,0.66332,0.663426,0.663751,0.663959,0.664131,0.664372
0.662081,0.662732,0.662975,0.663303,0.663658,0.663789,0.664084,0.66416,0.66436,0.664632
0.662162,0.662926,0.663329,0.663656,0.663836,0.66399,0.664186,0.664461,0.66459,0.664849
0.662392,0.663073,0.663502,0.663733,0.664009,0.664044,0.664401,0.664597,0.664949,0.665075
0.66247,0.663093,0.663494,0.66368,0.663983,0.663963,0.664266,0.664608,0.664629,0.664801
0.662691,0.663274,0.663726,0.664003,0.664042,0.664141,0.664545,0.664689,0.665006,0.665102
0.662642,0.663194,0.663439,0.663801,0.664036,0.664299,0.664622,0.664522,0.66496,0.664691
0.662766,0.663194,0.663648,0.664034,0.664332,0.664563,0.664775,0.66488,0.665174,0.665542
0.662912,0.663612,0.664044,0.664457,0.664641,0.664839,0.665052,0.665369,0.665569,0.665381
0.663111,0.663820,0.66409,0.664323,0.664553,0.664632,0.664976,0.665219,0.665548,0.665819
0.66304,0.663611,0.664135,0.664413,0.664686,0.664882,0.665139,0.665336,0.665559,0.665708
0.663145,0.663652,0.663922,0.664093,0.664395,0.664664,0.664913,0.665166,0.665349,0.665505
0.663285,0.663912,0.664386,0.664615,0.664733,0.665052,0.665267,0.665521,0.665655,0.665815
0.663307,0.663969,0.664228,0.664605,0.664846,0.665122,0.665292,0.665532,0.665816,0.666031
0.663528,0.664218,0.664586,0.664786,0.665089,0.665319,0.665507,0.665709,0.665862,0.666036
0.66362,0.664281,0.664609,0.664923,0.665102,0.665401,0.665624,0.665916,0.666063,0.665963
0.663681,0.663930,0.664158,0.664239,0.664568,0.66469,0.664793,0.665288,0.665106,0.665332
0.663684,0.663891,0.664227,0.664419,0.664562,0.664815,0.664966,0.665327,0.665495,0.665638
0.663745,0.664061,0.664351,0.664439,0.664526,0.664859,0.665098,0.665216,0.665304,0.665621
0.66399,0.664115,0.664415,0.664544,0.66508,0.664995,0.665289,0.665509,0.665657,0.665847
