OD,delta
0.6583033,0.002731
0.6584557,0.002944
0.6588199,0.003044
0.6591227,0.002506
0.6596692,0.002694
0.6597896,0.002649
0.6601991,0.002791
0.660059,0.002534
0.6605158,0.002838
0.6608713,0.002831
0.6609495,0.002687
0.6613341,0.002781
0.6615056,0.002844
0.6617252,0.002735
0.6618425,0.002652
0.6621701,0.002417
0.6623828,0.002818
0.6624372,0.002757
0.6623805,0.002454
0.6623998,0.002477
0.662757,0.002338
0.6626962,0.002563
0.6631917,0.002536
0.6629817,0.00224
0.6632193,0.002632
0.6634545,0.002171
0.6634089,0.002573
0.6635622,0.002574
0.6637982,0.002296
0.6634694,0.002151
0.6631024,0.002158
0.663464,0.002425
0.6635992,0.002266
0.6634786,0.00243
0.6634872,0.002152
0.6634656,0.002316
0.6637495,0.002296
0.663896,0.002293
0.662887,0.002482
0.6631919,0.001958
0.6629937,0.002668
0.6634026,0.001988
0.6633102,0.002625
0.6632437,0.002726
0.6635774,0.002551
0.6637985,0.002687
0.6639775,0.002683
0.6638987,0.002331
0.6641219,0.002411
0.6640255,0.002049
0.6643183,0.002776
0.6645876,0.002469
0.6646091,0.002708
0.6646509,0.002668
0.6644804,0.00236
0.6648241,0.00253
0.6648748,0.002724
0.665064,0.002508
0.6651502,0.002343
0.6645785,0.001651
0.6647024,0.001954
0.664722,0.001876
0.6649441,0.001857
