Time (min),2.21.26,2.23.26
0,1,1
3,0.995976597,0.997068042
6,0.997461825,0.998691244
9,0.999179091,1.00021487
12,0.996441621,1.000679391
15,0.997008665,1.000595539
18,0.997366923,1.001647023
21,0.997416272,1.001195366
24,0.997270596,1.001952891
27,0.998943258,1.003204953
30,0.998524736,1.001744215
33,0.99918004,1.002697077
36,0.998271821,1.002591309
39,0.999147773,1.002550813
42,0.999297719,1.004316943
45,1.000055518,1.002497452
48,1.000055993,1.003684242
51,0.999545416,1.003292616
54,1.003119929,1.002929099
57,1.005006596,1.00238692
60,1.001766141,1.000314921
63,1.001050574,1.001758031
66,1.000474039,1.002623707
69,1.000794811,1.002602267
72,1.002761196,1.003268318
75,1.001283085,1.004220227
78,1.001682626,1.004009645
81,1.001659849,1.003793822
84,1.001026373,1.007636239
87,1.001792713,1.004750019
90,1.001656053,1.004158768
93,1.000922929,1.002735191
96,1.000051722,1.003648034
99,1.001442048,1.012653536
102,1.001259834,1.003425064
105,1.003072003,1.003891966
108,1.00283095,1.003574187
111,1.00177136,1.003483665
114,1.002594642,1.004929157
117,1.002546716,1.005833423
120,1.003041159,1.005107819
123,1.002474115,
126,1.000850803,
129,1.002157615,
132,1.003410806,
135,1.001924628,
138,1.003460155,
141,1.004279166,
144,1.003369048,
147,1.004259236,
150,1.004531607,
153,1.005308861,
156,1.003913316,
159,1.004008219,
162,1.005380513,
165,1.005513377,
168,1.004948705,
171,1.005698911,
174,1.005044557,
177,1.004820586,
180,1.005543271,
